Total_Nodes,Fail_Prob,Convergiu_pct,Tempo_Convergencia_medio,Tempo_Convergencia_std,Media_Ativos_Ciclo0_medio,Media_Ativos_Ciclo0_std
10,0.1,100.0,0.0,0.0,4.0,0.0
10,0.15,100.0,0.0,0.0,4.0,0.0
10,0.2,93.33333333333333,0.0,0.0,3.993333333333333,0.02494438257849297
10,0.25,96.66666666666667,0.0,0.0,3.996666666666667,0.01795054935711503
10,0.3,70.0,0.0,0.0,3.9633333333333334,0.06046119049072357
10,0.35,50.0,0.0,0.0,3.923333333333334,0.09195409482755815
10,0.4,30.0,0.0,0.0,3.8666666666666667,0.11055415967851333
10,0.45,30.0,0.0,0.0,3.846666666666667,0.13840359661351123
10,0.5,0.0,,,3.5266666666666664,0.2827641341393133
10,0.55,0.0,,,3.4533333333333336,0.236267268622258
20,0.1,100.0,0.0,0.0,4.0,0.0
20,0.15,100.0,0.0,0.0,4.0,0.0
20,0.2,100.0,0.0,0.0,4.0,0.0
20,0.25,93.33333333333333,0.0,0.0,3.996666666666667,0.012472191289246426
20,0.3,86.66666666666667,0.0,0.0,3.988333333333333,0.033374973990834625
20,0.35,53.333333333333336,0.0,0.0,3.9650000000000007,0.04681523968396049
20,0.4,33.33333333333333,0.0,0.0,3.931666666666666,0.070099136149377
20,0.45,13.333333333333334,0.0,0.0,3.8566666666666674,0.11742609969205692
20,0.5,0.0,,,3.7516666666666665,0.1274645920333259
20,0.55,0.0,,,3.61,0.15459624833740307
30,0.1,100.0,0.0,0.0,4.0,0.0
30,0.15,96.66666666666667,0.0,0.0,3.997777777777778,0.011967032904743378
30,0.2,96.66666666666667,0.0,0.0,3.998888888888889,0.00598351645237165
30,0.25,96.66666666666667,0.0,0.0,3.998888888888889,0.00598351645237165
30,0.3,66.66666666666666,0.0,0.0,3.982222222222222,0.02948110924760358
30,0.35,36.666666666666664,0.0,0.0,3.955555555555556,0.04499657051403691
30,0.4,16.666666666666664,0.0,0.0,3.932222222222223,0.07017614522061398
30,0.45,10.0,0.0,0.0,3.8666666666666667,0.09925649526278803
30,0.5,0.0,,,3.7811111111111106,0.10208323885105225
30,0.55,0.0,,,3.5922222222222215,0.09951115081136612
40,0.1,100.0,0.0,0.0,4.0,0.0
40,0.15,100.0,0.0,0.0,4.0,0.0
40,0.2,86.66666666666667,0.0,0.0,3.996666666666667,0.008498365855987948
40,0.25,63.33333333333333,0.0,0.0,3.99,0.01384437310486341
40,0.3,63.33333333333333,0.0,0.0,3.9849999999999994,0.02198484326378816
40,0.35,30.0,0.0,0.0,3.963333333333333,0.03912231531435167
40,0.4,6.666666666666667,0.0,0.0,3.926666666666667,0.04326918328582392
40,0.45,0.0,,,3.8483333333333336,0.06485025486114576
40,0.5,0.0,,,3.7908333333333326,0.08861981845062772
40,0.55,0.0,,,3.5966666666666667,0.12986103683895678
50,0.1,100.0,0.0,0.0,4.0,0.0
50,0.15,96.66666666666667,0.0,0.0,3.9993333333333334,0.003590109871423006
50,0.2,96.66666666666667,0.0,0.0,3.9993333333333334,0.0035901098714230064
50,0.25,80.0,0.0,0.0,3.994,0.013808210118138663
50,0.3,63.33333333333333,0.0,0.0,3.9866666666666672,0.022110831935702686
50,0.35,10.0,0.0,0.0,3.964,0.027030846576951078
50,0.4,3.3333333333333335,0.0,0.0,3.9233333333333333,0.055156343444994864
50,0.45,0.0,,,3.8753333333333324,0.059032947486034396
50,0.5,0.0,,,3.7466666666666675,0.09038190576043897
50,0.55,0.0,,,3.608000000000001,0.10961751684835784
